Designator,Mid X,Mid Y,Layer,Rotation
"C1","40.6245mm","-19.7886mm","Top",0
"C2","37.1402mm","-15.2136mm","Top",0
"C3","36.4291mm","-12.7877mm","Top",0
"C4","34.3414mm","-9.3081mm","Top",0
"C15","5.155mm","-15.2505mm","Top",90
"C16","10.1521mm","-9.0155mm","Top",90
"IC1","24.7358mm","-21.0494mm","Top",0
"J1","-40.9118mm","-14.8783mm","Top",180
"J2","33.9291mm","-23.3064mm","Top",0
"LED1","15.2857mm","22.5331mm","Top",315
"LED2","18.5921mm","22.5331mm","Top",315
"LED3","21.8984mm","22.5331mm","Top",315
"LED4","25.2048mm","22.5331mm","Top",315
"LED5","28.5111mm","22.5331mm","Top",315
"LED6","31.8175mm","22.5331mm","Top",315
"LED7","35.1238mm","22.5331mm","Top",315
"LED8","38.4302mm","22.5331mm","Top",315
"LED9","8.0547mm","-9.7788mm","Top",180
"LED10","15.2857mm","19.0305mm","Top",315
"LED11","18.5921mm","19.0305mm","Top",315
"LED12","21.8984mm","19.0305mm","Top",315
"LED13","25.2048mm","19.0305mm","Top",315
"LED14","28.5111mm","19.0305mm","Top",315
"LED15","31.8175mm","19.0305mm","Top",315
"LED16","35.1238mm","19.0305mm","Top",315
"LED17","38.4302mm","19.0305mm","Top",315
"LED18","15.2857mm","15.691mm","Top",315
"LED19","18.5921mm","15.691mm","Top",315
"LED20","21.8984mm","15.691mm","Top",315
"LED21","25.2048mm","15.691mm","Top",315
"LED22","28.5111mm","15.691mm","Top",315
"LED23","31.8175mm","15.691mm","Top",315
"LED24","35.1238mm","15.691mm","Top",315
"LED25","38.4302mm","15.691mm","Top",315
"R5","8.0361mm","-8.2735mm","Top",0
"U1","9.6859mm","-15.2734mm","Top",0
"U2","-87.8833mm","0.481mm","Top",0
